framework,control_id,control_ref,control_family,control_match_source,mapping_confidence,mapping_rationale,source_coverage_refs,finding_id,name,pack_id,source_id,evaluation_mode,severity,status,maturity
ISO 27001:2022,A.8.12,ISO 27001:2022 A.8.12,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,m365-safe-links-disabled,M365 Safe Links Disabled,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.12,ISO 27001:2022 A.8.12,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,m365-sharepoint-external-sharing-anyone,M365 Sharepoint External Sharing Anyone,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.12,ISO 27001:2022 A.8.12,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,m365-tenant-legacy-auth-enabled,M365 Tenant Legacy Auth Enabled,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.12,ISO 27001:2022 A.8.12,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,slack-admin-without-sso,Slack Admin Without Sso,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.12,ISO 27001:2022 A.8.12,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,slack-app-bot-token-unreviewed,Slack App Bot Token Unreviewed,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.12,ISO 27001:2022 A.8.12,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,slack-external-shared-channel-unreviewed,Slack External Shared Channel Unreviewed,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.12,ISO 27001:2022 A.8.12,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,slack-guest-user-no-expiry,Slack Guest User No Expiry,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.13,ISO 27001:2022 A.8.13,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,backup-encryption,Backups Encrypted at Rest,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.13,ISO 27001:2022 A.8.13,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,backup-offsite,Offsite Backup Storage,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.13,ISO 27001:2022 A.8.13,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,backup-retention,Backup Retention Policy Compliance,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.13,ISO 27001:2022 A.8.13,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,backup-rpo-compliance,Recovery Point Objective (RPO) Compliance,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.13,ISO 27001:2022 A.8.13,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,backup-testing,Backup Restoration Testing,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.13,ISO 27001:2022 A.8.13,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,bucket-sensitive-no-lock,Bucket with sensitive data has object lock disabled,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.13,ISO 27001:2022 A.8.13,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,cert-expiry-30-days,SSL/TLS Certificates Expiring Within 30 Days,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.13,ISO 27001:2022 A.8.13,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,db-backup-enabled,Database Automated Backups Enabled,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.13,ISO 27001:2022 A.8.13,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,db-multi-az,Production Database Multi-AZ Deployment,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.13,ISO 27001:2022 A.8.13,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-logs-retention-365,CloudWatch Logs Retention 365 Days,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.13,ISO 27001:2022 A.8.13,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,pci-audit-retention,Audit Log Retention 1 Year,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.13,ISO 27001:2022 A.8.13,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,aws/dynamodb_table,aws-dynamodb-pitr,DynamoDB Point-in-Time Recovery Enabled,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.13,ISO 27001:2022 A.8.13,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,aws/rds_instance,aws-rds-backup-enabled,RDS Backup Enabled,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.13,ISO 27001:2022 A.8.13,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,aws/rds_instance,aws-rds-deletion-protection,RDS Deletion Protection,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.13,ISO 27001:2022 A.8.13,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,aws/s3_bucket,aws-s3-bucket-versioning-enabled,S3 Bucket Versioning Enabled,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.13,ISO 27001:2022 A.8.13,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,aws/s3_bucket,aws-s3-cross-region-replication,S3 Buckets Have Cross-Region Replication,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.13,ISO 27001:2022 A.8.13,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,gcp/cloud_sql_instance,gcp-sql-backup-enabled,GCP Cloud SQL Backup Enabled,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.14,ISO 27001:2022 A.8.14,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,backup-encryption,Backups Encrypted at Rest,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.14,ISO 27001:2022 A.8.14,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,backup-offsite,Offsite Backup Storage,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.14,ISO 27001:2022 A.8.14,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,backup-retention,Backup Retention Policy Compliance,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.14,ISO 27001:2022 A.8.14,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,backup-rpo-compliance,Recovery Point Objective (RPO) Compliance,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.14,ISO 27001:2022 A.8.14,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,backup-testing,Backup Restoration Testing,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.14,ISO 27001:2022 A.8.14,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,cert-expiry-30-days,SSL/TLS Certificates Expiring Within 30 Days,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.14,ISO 27001:2022 A.8.14,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,db-backup-enabled,Database Automated Backups Enabled,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.14,ISO 27001:2022 A.8.14,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,db-multi-az,Production Database Multi-AZ Deployment,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.14,ISO 27001:2022 A.8.14,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,k8s-deployment-multiple-replicas,K8s Deployment Multiple Replicas,policy,policy,event,low,active,candidate
ISO 27001:2022,A.8.14,ISO 27001:2022 A.8.14,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,k8s-pod-liveness-probe-required,Kubernetes Pod Requires Liveness Probes,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.14,ISO 27001:2022 A.8.14,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,k8s-pod-readiness-probe-required,Kubernetes Pod Requires Readiness Probes,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.14,ISO 27001:2022 A.8.14,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,k8s-pod-resource-limits,K8s Pod Resource Limits,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.14,ISO 27001:2022 A.8.14,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-logs-retention-365,CloudWatch Logs Retention 365 Days,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.14,ISO 27001:2022 A.8.14,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,pci-audit-retention,Audit Log Retention 1 Year,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.14,ISO 27001:2022 A.8.14,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,aws/dynamodb_table,aws-dynamodb-pitr,DynamoDB Point-in-Time Recovery Enabled,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.14,ISO 27001:2022 A.8.14,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,aws/rds_instance,aws-rds-backup-enabled,RDS Backup Enabled,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.14,ISO 27001:2022 A.8.14,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,aws/rds_instance,aws-rds-deletion-protection,RDS Deletion Protection,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.14,ISO 27001:2022 A.8.14,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,aws/rds_instance,aws-rds-multi-az-enabled,RDS Multi-AZ Enabled,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.14,ISO 27001:2022 A.8.14,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,aws/s3_bucket,aws-s3-bucket-versioning-enabled,S3 Bucket Versioning Enabled,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.14,ISO 27001:2022 A.8.14,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,gcp/cloud_sql_instance,gcp-sql-backup-enabled,GCP Cloud SQL Backup Enabled,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,grc-failing-control-test-unhealthy-integration,GRC Failing Control Test On Unhealthy Integration,grc,grc,graph,high,open,test
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,gcp/audit; github/audit_events,github-secops-secret-google-cloud-service-account-open,GitHub Secret Scanning Google Cloud Service Account Alert Open,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,gcp/audit; github/audit_events,github-secops-secret-google-cloud-service-account-push-protection-bypassed,GitHub Secret Scanning Google Cloud Service Account Push Protection Bypassed,policy,policy,event,critical,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,gcp/audit; github/audit_events,github-secops-secret-google-cloud-service-account-resolution-false-positive,GitHub Secret Scanning Google Cloud Service Account Resolution False Positive,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,gcp/audit; github/audit_events,github-secops-secret-google-cloud-service-account-resolution-used-in-tests,GitHub Secret Scanning Google Cloud Service Account Resolution Used In Tests,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,gcp/audit; github/audit_events,github-secops-secret-google-cloud-service-account-resolution-wont-fix,GitHub Secret Scanning Google Cloud Service Account Resolution Wont Fix,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,gcp/audit; github/audit_events; google_workspace/audit_events; okta/audit_events,gcp-log-sink-access,GCP Log Sink Access Restricted,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-app-installation-all-repos-event-check-run,GitHub App Installation All Repos Event Check Run,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-app-installation-all-repos-event-check-suite,GitHub App Installation All Repos Event Check Suite,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-app-installation-all-repos-event-code-scanning-alert,GitHub App Installation All Repos Event Code Scanning Alert,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-app-installation-all-repos-event-create,GitHub App Installation All Repos Event Create,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-app-installation-all-repos-event-delete,GitHub App Installation All Repos Event Delete,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-app-installation-all-repos-event-deployment,GitHub App Installation All Repos Event Deployment,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-app-installation-all-repos-event-deployment-status,GitHub App Installation All Repos Event Deployment Status,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-app-installation-all-repos-event-member,GitHub App Installation All Repos Event Member,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-app-installation-all-repos-event-membership,GitHub App Installation All Repos Event Membership,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-app-installation-all-repos-event-organization,GitHub App Installation All Repos Event Organization,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-app-installation-all-repos-event-repository,GitHub App Installation All Repos Event Repository,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-app-installation-all-repos-event-secret-scanning-alert,GitHub App Installation All Repos Event Secret Scanning Alert,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-app-installation-all-repos-event-workflow-job,GitHub App Installation All Repos Event Workflow Job,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-app-installation-all-repos-event-workflow-run,GitHub App Installation All Repos Event Workflow Run,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-repo-internal-all-push-protection-disabled,GitHub Secret scanning push protection Disabled For Internal All,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-repo-internal-all-secret-scanning-disabled,GitHub Secret scanning Disabled For Internal All,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-repo-internal-fork-push-protection-disabled,GitHub Secret scanning push protection Disabled For Internal Fork,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-repo-internal-fork-secret-scanning-disabled,GitHub Secret scanning Disabled For Internal Fork,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-repo-internal-primary-push-protection-disabled,GitHub Secret scanning push protection Disabled For Internal Primary,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-repo-internal-primary-secret-scanning-disabled,GitHub Secret scanning Disabled For Internal Primary,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-repo-private-all-push-protection-disabled,GitHub Secret scanning push protection Disabled For Private All,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-repo-private-all-secret-scanning-disabled,GitHub Secret scanning Disabled For Private All,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-repo-private-fork-push-protection-disabled,GitHub Secret scanning push protection Disabled For Private Fork,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-repo-private-fork-secret-scanning-disabled,GitHub Secret scanning Disabled For Private Fork,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-repo-private-primary-push-protection-disabled,GitHub Secret scanning push protection Disabled For Private Primary,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-repo-private-primary-secret-scanning-disabled,GitHub Secret scanning Disabled For Private Primary,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-repo-public-all-push-protection-disabled,GitHub Secret scanning push protection Disabled For Public All,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-repo-public-all-secret-scanning-disabled,GitHub Secret scanning Disabled For Public All,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-repo-public-fork-push-protection-disabled,GitHub Secret scanning push protection Disabled For Public Fork,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-repo-public-fork-secret-scanning-disabled,GitHub Secret scanning Disabled For Public Fork,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-repo-public-primary-push-protection-disabled,GitHub Secret scanning push protection Disabled For Public Primary,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-repo-public-primary-secret-scanning-disabled,GitHub Secret scanning Disabled For Public Primary,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-secret-anthropic-admin-api-key-open,GitHub Secret Scanning Anthropic Admin Api Key Alert Open,policy,policy,event,high,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-secret-anthropic-admin-api-key-push-protection-bypassed,GitHub Secret Scanning Anthropic Admin Api Key Push Protection Bypassed,policy,policy,event,critical,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-secret-anthropic-admin-api-key-resolution-false-positive,GitHub Secret Scanning Anthropic Admin Api Key Resolution False Positive,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-secret-anthropic-admin-api-key-resolution-used-in-tests,GitHub Secret Scanning Anthropic Admin Api Key Resolution Used In Tests,policy,policy,event,medium,active,candidate
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,github/audit_events,github-secops-secret-anthropic-admin-api-key-resolution-wont-fix,GitHub Secret Scanning Anthropic Admin Api Key Resolution Wont Fix,policy,policy,event,medium,active,candidate
